Title,Source,Type,Theme,Origin,Tone Set,Tonal Center,Scale,CSP,Meter,Rhythmic Content,Hardest Rhythmic,Hardest Melodic,Melodic Form,Rhythmic Form,Classroom Use,Grade Level,Game,Full Melody,Full Rhythm,Source Link,PDFs,MuseScore Embed,Lyrics,
"Come, Let Us Gather","Pamela Conn Beall and Susan Hagen Nipp (1995). Wee Sing More Bible Songs, Price Stern Sloan. Originally with Christian-centered lyrics.",Canon,"Music, Emotions",Bible,"s,l,t,drmfs",do,"do diatonic ext,",F,4/4,"ta,ti-ti,rest,tim-ka",tim-ka,"ti,",ABC,AAB,"Part singing, Round, Canon, 3 part, tim-ka","2,3,4,5",No,"ddrmdrs,dzmmfsmfrmzsfmrdt,l,s,l,t,dz",t tmk t t t t t z t tmk t t t t t z tt tt tt tt t t t z,,"Come Let Us Gather-Traditional_Notation.pdf, Come Let Us Gather-Stick_Notation.pdf, Come Let Us Gather-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041903/embed,"Come, let us gather now to sing. Sing, from your heart great joy to bring Body, mind spirit, voice, come let's sing.",
The Cuckoo,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 11.",Canon,"Animals, Birds, Music",Italy,"s,l,t,drmfs",do,"do diatonic ext,",C,2/4,"ta,ti-ti,rest,tam-ti,ti,ti-rest",ti-rest,"ti,",AB,AB,"Part singing, Round, Canon, 3 part, ti-rest","3,4,5",No,"s,ds,dmss,slsfmfmrds,l,t,dsmsmsmsm",ti tt tt tmt tt tt tt tt t t t t t tiz ti t z z tz ti t z z tiz ti t z z tiz ti t tiz,,"The Cuckoo-Traditional_Notation.pdf, The Cuckoo-Stick_Notation.pdf, The Cuckoo-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30042290/embed,"The cuckoo is a bird who's very silly, likes to sing and never fails to say: cuckoo cuckoo cuckoo cuckoo.",
Debka Hora,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 13.",Canon,Dance,Israel,"l,t,drm",la,"Natural Minor, la pentachordal",A,2/4,"ta,ti-ti,ti-tika",ti-tika,"ti,",AB,AB,"Part singing, Round, Canon, 2 part, ti-tika, repeat","3,4,5",No,"mdrdrmdrmdrmrdt,l,l,t,drrl,t,drl,t,drrdt,l,",tt ttk tt t tt ttk tt t ttk tt ttk t ttk tt tt t,,"Debka Hora-Traditional_Notation.pdf, Debka Hora-Stick_Notation.pdf, Debka Hora-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30042035/embed,"La la la la la la la la, la la la la la la la la, La, la la la la la la la la, la la la la la la la la.",
Ghost of John,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 41. Also found as ""Poor Tom"".",Canon,"Ghost, Holidays, Halloween, Spooky",USA,"m,f,s,l,t,drmfs",la,Natural Minor,E,4/4,"ta,ti-ti,rest",rest,"fa,",AB,AB,"Part singing, Round, Canon, 4 part, rest","2,3,4,5",No,"l,s,l,m,f,s,l,dt,dmrdt,l,t,drmrmsfmrmmmrrddt,l,s,s,",t t t t t t t t z t t t tt t t tt tt t t t tt t t t z tt tt tt t t t t z,,"Ghost of John-Traditional_Notation.pdf, Ghost of John-Stick_Notation.pdf, Ghost of John-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30042077/embed,Have you seen the ghost of John? Long white bones with the skin all gone oo Wouldn't it be chilly with no skin on?,
"Hey, Ho, Nobody Home","Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 25. Lyrics 'very merry' have been added for clarity.",Canon,"Food, Emotions",England,"m, s,l,t,drm",la,"Natural Minor, la hexatonic ext,",E,4/4,"ta,ti-ti,tika-tika,ti-tika,tim-ka",tim-ka,"mi,",ABCA,ABCA,"Part singing, Round, Canon, 4 part, tim-ka, Paired song, Quodlibet","3,4,5",No,"l,s,l,l,l,m,l,l,t,t,ddddt,mrmrmrmrdt,l,s,l,l,l,m,",t t ttk t tt tt tktk t tmk tmk tmk tktk t t ttk t,,"Hey Ho Nobody Home-Traditional_Notation.pdf, Hey Ho Nobody Home-Stick_Notation.pdf, Hey Ho Nobody Home-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30042113/embed,"Hey, ho, no body home, Meat nor drink nor money I have none, Still I will be merry very merry Hey, ho, no body home,",
Hotaru Koi,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Canon,"Animals, Nature, Insects",Japan,m slt,la,"Natural Minor, la tetratonic",A,2/4,"ta,ti-ti,rest",rest,ti,ABBA,ABBA,"Part singing, Round, Canon, 3 part, rest, Language","4,5",No,lllmslllllttllsmllllttllsmlllmsl,t z t z t tt t z t tt t tt t tt t z t tt t tt t tt t z t z t z t tt t z,,"Hotaru Koi-Traditional_Notation.pdf, Hotaru Koi-Stick_Notation.pdf, Hotaru Koi-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30047915/embed,"Ho, ho, hotaru koi, Achi no mizuwa nigai zo Kochino mizuwa amai zo, Ho, ho, hotaru koi,",
Let's Put the Rooster in the Stew,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 31. Originally French canon Mon Coq est Mort.",Canon,"Animals, Food, Death",France,"s, t,drmfsl",do,do diatonic,F,2/4,"ta,ti-ti,tika-tika,ti-tika",ti-tika,"ti,",AB,AABB,"Part singing, Round, Canon, 4 part, tika-tika, ti-tika","3,4,5",No,"ddrmdrt,dmmfsmfrmssssslsffsfms,s,s,s,dddssssd",ttk tt tt t ttk tt tt t tktk ttk tktk t tktk ttk tktk t,,"Lets Put the Rooster in the Stew-Traditional_Notation.pdf, Lets Put the Rooster in the Stew-Stick_Notation.pdf, Lets Put the Rooster in the Stew-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30074480/embed,"Let's put the rooster in the stew, Let's put the rooster in the stew, Then he cannot say cockadoodle, doodledoo, Then he cannot say cockadoodle, doodledoo.",
"Laughing, Singing","Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 31.",Canon,"Emotions, Music",Germany,drmfsltd',do,do diatonic,D,2/4,"ta,ti-ti,to-o,tika-tika,tika-ti",tika-ti,ti,AB,AB,"Part singing, Round, Canon, 4 part, tika-tika, tika-ti","4,5",No,ddrrmmffsd'lfmfsrdrmfsltd'slsfsmfmrd,tt tt tt tt tt tt tkt t tktk ttk tt tkt tt tkt t,,"Laughing Singing-Traditional_Notation.pdf, Laughing Singing German-Traditional_Notation.pdf, Laughing Singing-Stick_Notation.pdf, Laughing Singing-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30074750/embed,"Laughing, singing, laughing, singing go the children over the hill, la, la, la, la, la, la, la, la, la, la, la, la, la, la, over the hill. Lachend, lachend, lachend, lachend kommt der Sommer ü ber das Feld, über das Feld kommt der Sommer, ha ha ha, Lachend über das Feld.",
Little Tommy Tinker,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Canon,"Emotions, Tommy Tucker, Tommy Tinker",England,drm sl d',do,do pentatonic ext' ,D,2/4,"ta,ti-ti,rest,tika-tika,ti-tika,tika-ti,ti-rest","tika-ti,ti-tika,ti-rest",do',AB,AB,"Part singing, Round, Canon, 4 part, tika-tika, tika-ti, ti-tika","4,5",No,ddddddmmmmmssslssd'ssd'smmmrrrd,tktk tt ttk tt tt tt t tz ti t tt t t ttk tkt t z,,"Little Tommy Tinker-Traditional_Notation.pdf, Little Tommy Tinker-Stick_Notation.pdf, Little Tommy Tinker-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30092537/embed,"Little Tommy Tinkker sat on a clinker, he began to cry: ""Oh Mama, oh Ma ma!"" Poor little innocentguy!",
Make New Friends,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 35.",Canon,Friends,Wales,"s, drmfs d'",do,do pentatonic ext;,F,4/4,"ta,ti-ti,rest,tam-ti",tam-ti,do',A,A,"Part singing, Round, Canon, 4 part, tam-ti","3,4,5",No,"ds,drmsfmmrsssd'sfmrd",t t tmt tt tt t t t t tt tt t t t z,,"Make New Friends-Traditional_Notation.pdf, Make New Friends-Stick_Notation.pdf, Make New Friends-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30097097/embed,"Make new friends, but keep the old, One is silver and the other gold.",
Lo Yissa Goy,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 34. See Vine and Fig Tree for English text.",Canon,"Peace, War",Israel,"m, s,si,l,t,drmf",la,Harmonic Minor,B,4/4,"ta,ti-ti,rest,ti-rest,to-o,ti,anacrusis",ti,"si,",AABB,AABB,"Part singing, Round, Canon, 2 part, Anacrusis, Repeats, Language","4,5",No,"m,l,t,dt,l,t,dm,l,t,dt,l,si,l,mmmmmfmrrrrrmdt,l,",ti tt t t t t to tiz ti tt t t t t to z t tt t t t t to t tt t t t t to,,"Lo Yissa Goy-Traditional_Notation.pdf, Lo Yissa Goy-Stick_Notation.pdf, Lo Yissa Goy-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30118253/embed,"Lo yissa goy el goy cherev, Lo tilmedu od mlchamah, mah Lo yissa goy el goy cherev, Lo yilmedu od milchamah, milchamah.",
Vine and Fig Tree,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 51. See Lo Yissa Goy for Hebrew text.",Canon,"Peace, War",Israel,"m, s,si,l,t,drmf",la,Harmonic Minor,B,4/4,"ta,ti-ti,rest,ti-rest,to-o,ti,anacrusis",ti,"si,",AABB,AABB,"Part singing, Round, Canon, 2 part, Anacrusis, Repeats","4,5",No,"m,l,t,dt,t,l,t,dm,l,t,dt,l,si,l,mmmmmfmrrrrmdt,l,",ti tt t tt t t ti tam tiz ti tt t t t t to z t tt t t t t to t t t t t t to  ti tt t tt t t ti tum tiz ti tt t t t t to z t tt t t t t to t t t t t t to,,"Vine and Fig Tree-Traditional_Notation.pdf, Vine and Fig Tree-Stick_Notation.pdf, Vine and Fig Tree-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30118493/embed,"And ev'ry man 'neath his vine and fig tree, Shall live in peace and unafraid fraid. And into ploughshares turn their swords, nations shall learn war no more. war no more.",
Now Good Night,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 38",Canon,"Night, Goodnight",Unknown,"l,t,drmfs",la,Natural Minor,D,2/4,"ta,rest,to-o,tam-ti",tam-ti,"ti,",AB,AB,"Part singing, Round, Canon, 2 part, tam-ti","3,4,5",No,"l,t,dl,mfsmdrml,dt,l,",tmt t t tmt to z t tmt t t tmt to,,"Now Good Night-Traditional_Notation.pdf, Now Good Night-Stick_Notation.pdf, Now Good Night-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30118871/embed,"Now good night, I must away, We'll meet again another day.",
"Oh, How Lovely is the Evening","Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 39",Canon,"Night, Bells, Music",Germany,drmfsl,do,do hexachordal,D,6/8,"ta,ti-ti-ti,ta-ti,tum",tum ,fa,ABC,AAB,"Part singing, Round, Canon, 3 part, 6/8, ta-ti, tum","3,4,5",No,drmdfmmrdfmmrdmfsmlssfmlssfmdddddd,t ti t ti t ti ttt t ti ttt t ti t ti t ti ttt t ti ttt tum tum tum tum tum tum,,"Oh How Lovely is the Evening-Traditional_Notation.pdf, Oh How Lovely is the Evening-Stick_Notation.pdf, Oh How Lovely is the Evening-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30119462/embed,"Oh, how lovely is the ev' ning, is the ev' ning, When the bells are sweetly ring ing sweetly ring ing, Ding, dong, ding, dong, ding, dong.",
Now All the Woods are Waking,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 38",Canon,"Nature, Trees",USA,"s, drmfsltd'",do,do diatonic ext;,B,2/4,"ta,ti-ti,tam-ti,anacrusis",tam-ti,ti,AB,AB,"Part singing, Round, Canon, 4 part, Anacrusis","3,4,5",No,"s,ddrrmffsd'tlssd'ssd'sfmmrrd",ti tt tt t tt tt tt tmt t tt t tt tt tt t,,"Now All the Woods are Waking-Traditional_Notation.pdf, Now All the Woods are Waking-Stick_Notation.pdf, Now All the Woods are Waking-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30217739/embed,"Now all the woods are waking, the sun is rising high, Wake up now, get up now before the dew is dry.",
Rose Rose,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 42",Canon,"Nature, Flowers",France,"m, s,l,t,drm",la,"Natural Minor, la hexatonic ext,",G,4/4,"ta,ti-ti",ti-ti,"mi,/ti,",AB,AB,"Part singing, Round, Canon, 4 part, Paired song, Quodlibet","3,4,5",No,"l,s,l,s,l,l,t,t,drt,mrmdrmdt,l,m,",t t t t tt tt tt t t tt tt t t t t t,,"Rose Rose-Traditional_Notation.pdf, Rose Rose-Stick_Notation.pdf, Rose Rose-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30218633/embed,"Rose, Rose, Rose, Rose, Will I ever see thee red? Aye, marry that I will, if thou but stay.",
Shalom Chaverim,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 44",Canon,"Goodbye, Greetings",Israel,"m, l,t,drm sl",la,"Natural Minor, la hexatonic ext,",B,4/4,"ta,ti-ti,to-o,to-o-o",to-o-o,"mi,",ABCD,ABAC,"Part singing, Round, Canon, 2 part, Language","4,5",No,"m,l,l,t,dl,ddrmmlsmmlmrdrmdt,l,m,l,t,dl,",t t tt t t t tt t t to to too t t tt t t t tt t t too tt too,,"Shalom Chaverim-Traditional_Notation.pdf, Shalom My Friends-Traditional_Notation.pdf, Shalom Chaverim-Stick_Notation.pdf, Shalom Chaverim-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30219032/embed,"Shalom chaverim, Shalom chaverim, Shalom, Shalom, Lehitraot, Lehitraot, Shalom, Shalom. Shalom my friends, Sha lom my friends, Sha lom, Sha lom, Till we meet again, till we meet again, Shalom, Shalom.",
The Swan,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 46",Canon,"Animals, Music, Birds",Unknown,drmfsltd',do,do diatonic ext',C,4/4,"ta,ti-ti,to-o",to-o,ti,A,A,"Part singing, Round, Canon, 4 part, Major Scale","3,4,5",No,dddddd'tlslsfmfmrd,t tt t t t tt to t tt to t tt to,,"The Swan-Traditional_Notation.pdf, The Swan-Stick_Notation.pdf, The Swan-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30224429/embed,"Sweetly the swan sings: do, de, ah, do, do, de, ah, do, do, de, ah, do.",
There Was an Old Fellow,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 47",Canon,"Animals, Crabs",Unknown,"s, drmfs",do,"do pentachordal ext,",C,6/8,"ta,ti-ti-ti,ta-ti, anacrusis",ta ti (6/8),fa,ABC,AAA',"Part singing, Round, Canon, 3 part, 6/8, ta-ti, anacrusis","3,4,5",No,"s,dddmmmrdrddmmmsssfmfmms,s,s,s,s,s,s,s,d",ti ttt ttt ttt t ti ttt ttt ttt t ti ttt t ti ttt t,,"There Was an Old Fellow-Traditional_Notation.pdf, There Was an Old Fellow-Stick_Notation.pdf, There Was an Old Fellow-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30224684/embed,"There was an old fellow named Sandy McNab, Who had for his supper a very fine crab, And had to be carried home in a cab.",
Viva La Musica,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 51 ",Canon,Music,Composer: Germany Lyric Language: Italy,"f,s,l,t,drmfs",do,"do diatonic ext,",D,4/4,"ta,ti-ti,to-o,tam-ti",tam-ti,"fa,/ti,",ABC,AAB,"Part singing, Round, Canon, 3 part, tam-ti, Language","4,5",No,"sfmrdt,dt,mfsfmrdrddf,s,l,s,",tmt t tt t t to tmt t tt t t to t to t t t to,,"Viva La Musica-Traditional_Notation.pdf, Viva La Musica-Stick_Notation.pdf, Viva La Musica-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30243716/embed,"Viva, viva la musica, Viva, viva la musica, Viva la musica! Long live the music long live music",
Why Shouldn't My Goose,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 55",Canon,"Animals, Geese, Birds",Unknown,"s, drmfs d'",do,do pentachordal ext;,E,2/4,"ta,ti-ti,to-o",to-o,do',ABCD,ABBC,"Part singing, Round, Canon, 4 part","3,4,5",No,"dddds,mmmmmdsssssd'sfmrd",t tt t t tt tt t t tt tt t t tt tt to,,"Why Shouldnt My Goose-Traditional_Notation.pdf, Why Shouldnt My Goose-Stick_Notation.pdf, Why Shouldnt My Goose-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30244739/embed,"Why shouldn't my goose, Sing as well as thy goose? When I paid for my goose, Twice as much as thou?",
A Ram Sam Sam,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 4",Canon,"Nonsesnse, Silly",Morocco,"s, t,drmfs",do,"do hexachordal ext,",C,2/4,"ta,ti-ti,ti,tika-tika,ti-tika,anacrusis",ti-tika,"ti,",AB,AB,"Part singing, Round, Canon, 2 part, tika-tika, ti-tika","3,4,5",No,"s,ddds,dddt,drrrrrrdrmddssmssmrmffffffmfsmm",ti tt tt tt ttk tktk tktk tt tt t tt t ttk tktk tktk tt t,,"A Ram Sam Sam-Traditional_Notation.pdf, A Ram Sam Sam-Stick_Notation.pdf, A Ram Sam Sam-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30245102/embed,"A ram sam sam, a ram sam sam, guli guli guli guli guli ram sam sam. A rafi, a rafi, guli guli guli guli guli ram sam sam.",
